Incident Description,Risk Level
"The Nigerian Air Force (NAF) conducted air raids at bandits’ hideouts in the Bula Forest area of Giwa LGA, Kaduna State. An unspecified number of bandits were killed.",high
"Bandits fired indiscriminately in Asarawa community, Kalanjeni ward, Tangaza LGA, Sokoto State. An unspecified number of people were killed. Community guards were deployed to the area and engaged the bandits in a firefight.",high
"Youths from Enugu North Senatorial District held a protest over an alleged plan by the outgoing Vice Chancellor of the University of Nigeria, Nsukka (UNN), to secretly install a successor. The protesters carried placards and walked from the Total Roundabout to the UNN main gate in Nsukka LGA, Enugu State.",high
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs at the World Bank area of Aba, Aba North LGA, Abia State. An unspecified number of gang members were injured.",high
"Gunmen attacked the Ohaukwu police station in Ezzamgbo, Ohaukwu LGA, Ebonyi State. Policemen engaged the gunmen in a firefight until they withdrew. An unspecified number of operational vehicles were set on fire.",high
"There was a violent clash between operatives of the Enugu State Task Force and scavengers in the vicinity of Abakpa Nike community, Enugu East LGA, Enugu State. The scavengers set fire to the task force operational vehicle.",high
"Gunmen killed two people (a councillor representing Enuagu ward in Onicha legislative council, and the Coordinator of the National Youth Council of Nigeria (NYCN), Onicha LGA Chapter) in Isu village, Onicha LGA, Ebonyi State.",high
"Armed herders shot and killed two men that were attempting to rescue a girl that was being sexually assaulted by the herders in Ukwuakpu, between Ukpata and Uvuru communities, Uzo-Uwani LGA, Enugu State.",high
"GSF personnel repelled a robbery attack in the vicinity of Awkunanaw community, Enugu South LGA, Enugu State. An unspecified number of firearms and ammunition were recovered.",high
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs in Osisioma, Osisioma LGA, Abia State. No further details.",high
"Members of the Indigenous People of Biafra (IPOB)/Eastern Security Network (ESN) enforcing the sit-at-home exercise attacked a military checkpoint at the Federal Government College (FGC), Ohafia LGA, Abia State. The attack resulted in a firefight until the IPOB/ESN members withdrew. An unspecified number of IPOB/ESN members were killed, one other was arrested, and weapons were recovered.",high
"A team of vigilantes conducted a raid at a suspected kidnappers’ hideout in Anam Forest, Anambra West LGA, Anambra State. One Toyota vehicle and charms were recovered.",high
"There was an altercation between members of the “Aye” and the “Buccaneers” cult gangs at the Michael Okpara University of Agriculture, Umudike (MOUAU), Ikwuano LGA, Abia State, after one of the cult gang members forcefully collected a rival cult gang member’s phone.",high
"There was a communal clash in Oghara, Ethiope West LGA, Delta State. One person was reportedly killed.",high
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs at Heaven Street close to the Auchi Polytechnic Campus gate, Etsako West LGA, Edo State. One gang member was reportedly killed.",high
"One gang member was killed by rival cult gang members at Odobo Junction near the Evbuotubu Market Junction in Egor LGA, Edo State.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs at a bar in Benin city, Oredo LGA, Edo State. One gang member was killed.",high
"Members of the “Maphite” cult gang killed a member of the “Aye” cult gang at Agbor Road in Ikpoba Okha LGA, Edo State.",high
"Members of the “Maphite” cult gang killed a member of the “Aye” cult gang at Siluko Road in Egor LGA, Edo State.",high
"GSF personnel conducted an anti-cult operation in Ugbor Village, Oredo LGA, Edo State. An unspecified number of suspected cult gang members were arrested.",high
"Members of the “Aye” cult gang injured a member of the “Maphite” cult gang at KB Estate, Ikpoba Hill, Ikpoba Okha LGA, Edo State.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs at Siluko Road in Ovia South-West LGA, Edo State. One person was killed.",high
"At least seven gunmen mounted on two motorcycles attacked Okpanam in Oshimili North LGA, Delta State. Policemen were deployed to the location and one of the gunmen was arrested.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs at the Ring Road area in Benin City, Oredo LGA, Edo State. One cult gang member was killed.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs at Iguomo along the Agbor Park Road, Benin City, Oredo LGA, Edo State. One cult gang member was shot and injured.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs around the Agbor Park Road close to Zenith Bank in Benin City, Oredo LGA, Edo State. One cult gang member was killed.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs at Ugbowo, Benin City, Oredo LGA Edo State. One cult gang member was killed.",high
"Members of the “Aye” cult gang attacked a rival cult gang member at a shop along the Wire Road, Benin City, Oredo LGA, Edo State. One salesgirl was mistakenly killed after the cult gang member escaped.",high
"A cult gang member was shot and killed at the 3rd East Circular Road by the Edo College School Junction, Benin City, Oredo LGA, Edo State.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs along the Idopkpa Auchi Road, Benin City, Oredo LGA, Edo State. One cult gang member was killed.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs along the Agbor Road in Benin City, Oredo LGA, Edo State. One cult gang member was killed.",high
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs at Auchi Polytechnic Campus (2) Gate, Etsako West LGA, Edo State. Two people were killed.",high
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs at Auchi Polytechnic Campus (3), Etsako West LGA, Edo State. Two people were killed.",high
"Youths of Egbema community held a protest at different locations in Egbema, Emohua LGA, Rivers State, over their dissatisfaction with the current Community Liaison Officer (CLO). Vigilantes were deployed and fired shots to disperse the protesters. One of the protesters was killed by a stray bullet. The youths set fire to the vigilante’s vehicle and destroyed his house following the death of their friend. At least nine people were later arrested.",high
"One “Eiye” cult gang member was shot and beheaded by “Aye” cult gang members along the Old Ife Road in Ibadan North East, Oyo State.",high
"Gunmen fired indiscriminately and killed an unspecified number of people at different communities in Oke-Ogun, Kajola LGA, Oyo State.",high
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs in Atan-Ota, Ado Odo/Ota LGA, Ogun State. One person was killed. Sounds of gunfire were later reported in the area.",high
"A hunter mistakenly shot and killed his colleague during a hunting expedition in the Pakoyi Forest, Owode Ketu, Yewa North LGA, Ogun State.",high
"Gunmen in a vehicle attacked a woman and her daughter on a motorcycle around the Federal Science Technical College in Ijebu Mushin, Ijebu East LGA, Ogun State. The woman was abducted.",high
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs in the vicinity of Olodo, Egbeda LGA, Oyo State. One cult gang member was killed.",high
"Suspected smugglers attacked personnel of the Nigeria Customs Service (NCS) in Erekiti, Badagry LGA, Lagos State. Soldiers were deployed to the area to support the NCS personnel. One of the smugglers was killed, and two people including a soldier and an NCS official were injured.",high
"Unidentified armed men shot and killed a man at his residence in Akungba-Akoko, Akoko South-West LGA, Ondo State.",high
"A group of armed robbers with explosives fired indiscriminately at the Abaji Divisional Police Station while another group targeted a commercial bank along the Toto Road in Abaji Area Council, Abuja. After gaining access into the bank, the robbers stole monies on the counter but did not gain access into the vault. Policemen, soldiers, hunters, and vigilantes were deployed to the area and engaged the robbers in a firefight. At least four people including a policeman and three robbers were killed, nine robbers escaped with gunshot wounds, and three robbers were arrested. A mob set fire to the body of one of the robbers killed during the firefight.",high
"There was a protest under the Berger Bridge in AMAC, Abuja, over the current economic condition in Nigeria. The protesters carried placards with different inscriptions.",high
"Gunmen attacked Guida village in Guida District along the Zuba Expressway, Bwari Area Council, Abuja. Two people were killed, two people were injured, and two others were abducted.",high
"Civilian staff members of the Ministry of Defense held a protest at the premises of the ministry in Area 10, Garki, AMAC, Abuja, over alleged brutalization of their colleagues by military officers posted to the ministry. The protesters barricaded the entrance to the ministry, carrying placards with different inscriptions.",high
"There was a violent clash between suspected herders and Gbagyi farmers in Kadna village, Shiroro LGA, Niger State. Two people (one herder and one farmer) were killed, and houses, livestock, food supplies, and other valuables belonging to the Gbagyi farmers were set on fire.",high
"Members of the “Viking” cult gang killed a member of the “Aye” cult gang in Jenta area, Jos North LGA, Plateau State.",high
"Bandits attacked Lanta village in Shiroro LGA, Niger State. Three people were killed, and an unspecified number of houses were set on fire.",high
"Members of the “Aye” cult gang killed a member of the “Vikings’’ cult gang in the vicinity of Secretariat Junction, Jos North LGA, Plateau State.",high
"Bandits in transit towards Mashegu and Wushishi LGAs attacked a military base resulting in a firefight in Tegina, Rafi LGA, Niger State. One bandit leader was killed, and two soldiers were injured.",high
"Bandits killed a man while working on his farm in Kuchini, Ihuru community, Shiroro LGA, Niger State.",high
"Bandits abducted two people in Guyi Kushaku village, Galadima Ward, Shiroro LGA, Niger State.",high
"Gunmen ambushed vehicles in Doruwa village near Uke along the Nasarawa-Keffi Road, Karu LGA, Nasarawa State, and abducted at least 30 people including students. GSF personnel were deployed to the location and rescued three of the abducted victims. A 10-million-naira ransom was demanded for the release of each of the abducted victims.",high
"Bandits attacked Lanta, Bassa, Kasimani, Unguwan-Madi, and Makuda villages in Shiroro LGA, Niger State, and killed 20 people.",high
"A vigilante mistakenly detonated an IED planted by ISWAP insurgents in the vicinity of Kannama town, Yunusari LGA, Yobe State. He was taken to the hospital where he later died.",high
"Unidentified armed men attacked a residence in Bungai community, Gujba LGA, Yobe State, and abducted a child. Policemen were deployed to the location and the child was rescued.",high
"GSF personnel conducted clearance operations at kidnappers’ hideouts in Chinkai forest, Wukari LGA, Taraba State. 12 mobile phones and three international passports were recovered.",high
"ISWAP insurgents mounted an Illegal Vehicle Checkpoint (IVCP) in the vicinity of Furram along the Magumeri-Gubio Road, Magumeri LGA, Borno State, and stole mobile phones, money, and other valuables from commuters.",high
"ISWAP insurgents mounted an Illegal Vehicle Checkpoint (IVCP) in the vicinity of Farambaliya village, between Gubio and Magumeri towns, Gubio LGA, Borno State, and stole money from an unspecified number of vehicles conveying livestock.",high
"ISWAP insurgents mounted an Illegal Vehicle Checkpoint (IVCP) and abducted three people between Garin Kuturu and Mannanari villages near Auno, along the Maiduguri-Damaturu Road in Kaga LGA, Borno State.",high
"ISWAP insurgents abducted three people from Ngurosoye village, Bama LGA, Borno State. A 300,000-naira ransom was demanded for the release of one of the abductees.",high
"AOG insurgents attacked a GSF position in the vicinity of Mandarari IDP Camp, Konduga LGA, Borno State. No further details.",high
"ISWAP insurgents with two technicals gathered 100 people in Doron Naira, Kukawa LGA, Borno State, and opened fire on them. An unspecified number of civilians were killed.",high
"Armed men attacked Kinnari village in Mobbar LGA, Borno State, and abducted one person.",high
"ISWAP insurgents with a VBIED attacked GSF personnel in Kukawa LGA, Borno State. An unspecified number of GSF personnel were reportedly killed, and an armoured vehicle was destroyed.",high
"Armed men attacked Apirgwa and Deke communities in Kente Ward, Wukari LGA, Taraba State. At least 11 people were killed, and houses and properties were vandalized.",high
"Armed men abducted a man in Jilli village, Gubio LGA, Borno State. A 10-million-naira ransom was demanded for his release. The victim’s corpse was handed over to the family after a 5-million-naira was paid for his release. The armed men claimed that the victim died while attempting to escape.",high
"Unidentified armed men burgled a house in the vicinity of Rafin Zurfi, Bauchi LGA, Bauchi State. An unspecified number of people were injured, and an undisclosed amount of money and valuables were stolen.",high
"The Kaduna State Commissioner for Internal Security and Home Affairs stated that the troops of Sector 6 Operation WHIRL PUNCH engaged bandits in a firefight in the vicinity of Idasu Forest at the boundaries between Giwa LGA, Kaduna State, and Sabuwa LGA, Katsina State. 36 bandits including one of their leaders were killed.",low
"Bandits mounted an Illegal Vehicle Check Point (IVCP) in the vicinity of Gidan-Giye, along the Chafe-Katsina Road in Chafe LGA, Zamfara State. No further details.",low
"Armed men allegedly affiliated with a contestant of the Kano Emirship attacked and vandalized the Eid praying ground in Kanti Kwari, Fagge LGA, Kano State. GSF personnel were deployed to the location to restore order.",low
"Increased tensions were reported in the Kantin Kwari and Filin Idi areas along the IBB Way, Kano Municipal LGA, Kano State, over the demolition of illegal shops and structures by the State Government. Unidentified youths burnt tires along the road and attacked the government officials conducting the demolition. An unspecified number of the officials were injured.",low
"There was a firefight between GSF personnel and bandits in the vicinity of Gidan-Giye, along the Chafe-Katsina Road in Chafe LGA, Zamfara State. No further details.",low
"The Nigerian Air Force (NAF) conducted air raids at bandits’ hideouts in the vicinities of Bakori Hills and Yartsintsiya, Kankara LGA, Katsina State. 29 bandits were killed, and an unspecified number of kidnap victims including the daughter of village head of Ruwan Godiya were rescued.",low
"Bandits fired indiscriminately at commercial buses at Bishini Junction, near Katari in Kachia LGA, Kaduna State. At least 18 passengers were abducted.",low
"GSF personnel supported by members of the Zamfara State Community Protection Guards engaged bandits in a firefight at their hideout in Rukudawa village, Zurmi LGA, Zamfara State. At least two bandits were killed, and rustled sheep were recovered.",low
"GSF personnel supported by members of the Zamfara State Community Protection Guards engaged bandits in a firefight in the Mayanchi general area in Maru LGA, Zamfara State. One bandit was killed, and one AK 47 rifle, two motorcycles, and 410 rustled sheep were recovered.",low
"Bandits mounted an Illegal Vehicle Check Point (IVCP) in Gidan Kano, along the Sokoto-Gusau Road in Maradun LGA, Zamfara State, and abducted at least seven people from a commercial car.",low
"GSF personnel ambushed and engaged bandits in a firefight in Kerawa village, Igabi LGA, and Doka village in Giwa LGA, Kaduna State. Two bandits were killed.",low
"Bandits attacked Gidan Bofa and Dan Nakwabo communities in Kankara LGA, Katsina State. Policemen supported by members of the Katsina State Community Watch Corps (KSCWC) were deployed but bandits ambushed them. At least 26 people including four policemen and two members of KSCWC were killed.",low
"Gunmen attacked Angwan Daniel community in Chikun LGA, Kaduna State. One person was shot and injured, and three people were abducted.",low
"Gunmen attacked Zaman Dabo community in Zangon Kataf LGA, Kaduna State, and abducted a clergyman. A 30-million-naira ransom was demanded for his release.",low
"Gunmen attacked Kokob community in Kufana ward, Kajuru LGA, Kaduna State. One person was killed, and at least 31 people were abducted.",low
"Troops of Operation “DESERT SANITY II” on clearance operations engaged bandits in a firefight at Gidan Dutse, Kachia LGA, Kaduna State. At least two bandits were killed, an unspecified number escaped with gunshot wounds, and three AK-47 rifles, two motorcycles, and two mobile phones were recovered.",low
"Bandits mounted an Illegal Vehicle Check Point (IVCP) in the vicinity of Yankara, Faskari LGA, Zamfara State.",low
"Bandits attacked Gidan-Maga village in Malumfashi LGA, Katsina State. At least 10 people were abducted, and 16 cows were rustled. GSF personnel trailed the bandits and engaged them in a firefight. The abducted victims were rescued, and the rustled cows were recovered.",low
"GSF personnel engaged gunmen in a firefight in the Dantarau area of Maro ward in Kajuru LGA, Kaduna State. At least five gunmen were killed.",low
"Troops of the Nigerian Army conducted clearance operations at bandit hideouts in Kachia and Kajuru LGAs, Kaduna State. Five bandits were killed, two AK47 rifles, one fabricated submachine gun (SMG), nine AK47 magazines, 250 rounds of 7.62mm special ammunition, two motorcycles, and two handheld radios were recovered.",low
"Bandits attempted to abduct four people from a vehicle along the Gusau-Chafe-Funtua Road, in the vicinity of Unguwar Chida, Chafe LGA, Zamfara State. GSF personnel were deployed and engaged the bandits in a firefight. Two bandits were killed, the victims were rescued, two AK-47 rifles, three magazines, 31 rounds of 7.62mm special ammunition, and one motorcycle were recovered.",low
"Bandits abducted at least 17 people in Boraye village, Gada district, Bungudu LGA, Zamfara State.",low
"Bandits attacked Duya village, Maibakko Ward in Sabuwa LGA, Katsina State. An unspecified number of women were abducted. Policemen were deployed and engaged the bandits in a firefight. Three bandits were killed, and the abductees were rescued.",low
"GSF personnel supported by members of the Neighborhood Watch Group on a clearance operation engaged IPOB/ESN members in a firefight at their camp in Igbo-Etiti LGA, Enugu State. At least two IPOB/ESN members were killed, and firearms, two motorcycles, one ATM card, and 2,600 naira were recovered.",low
"Troops of the Nigerian Army supported by a Task Force Tactical Patrol Squad conducted a clearance operation at an IPOB/ESN training camp in Ihechiowa community, Arochukwu LGA, Abia State. The camp, along with training apparatus and facilities, were destroyed.",low
"Traders and shop owners along Ngwa Road in Aba held a protest at the Government House in Umuahia, Umuahia North LGA, Abia State, over the prolonged closure of the Ngwa Road Market following a military operation after the killing of five soldiers by gunmen at the Obikabia Junction. They stated that the traders who were unconnected to the incident at the Obikabia Junction were suffering and risked starvation without access to their livelihoods.",low
"Gunmen ambushed a team of GSF personnel near Atani community in Ogbaru LGA, Anambra State. Two GSF personnel were killed, one sustained gunshot wounds, and another was missing.",low
"Gang members fired indiscriminately in the vicinity of Bunker, Enugu North LGA, Enugu State. No further details.",low
"Armed men fired indiscriminately and killed two policemen at a checkpoint along the Owerri Okigwe Road in Akabo, Ikeduru LGA, Imo State. The armed men subsequently shot and killed a man who was allegedly targeted in his residence in the same area.",low
"Gunmen on a motorcycle shot and killed a trader at Okwor Market in Ngbojiogu Community, Ohaukwu LGA, Ebonyi State.",low
"Members of the “Vikings” cult gang killed a member of the “Aye” cult gang at Railway Orie in Emene, Enugu East LGA, Enugu State.",low
"Troops of Operation “UDO KA” conducted clearance operations at an IPOB/ESN hideout in Igboro Forest, Arochukwu LGA, Abia State. Six IPOB/ESN were killed, arms and ammunitions were recovered.",low
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs in Emene, Enugu East LGA, Enugu State. One person was killed.",low
"Gunmen attacked a former member of the Enugu State House of Assembly in transit in Neke Odenigbo, Enugu East LGA, Enugu State, and killed him.",low
"Students attending the Rivers State University, Nkpolu-Oroworukwo, Port Harcourt LGA, Rivers State, held a protest over the alleged brutalization of a student by officials of the Man ‘O’ War in the institution. The student was reported to have walked on the pavement of the Man ‘O’ War office located near Hostel F on the campus which infuriated some of the personnel who then attacked and injured him.",low
"A mob lynched a suspected tricycle thief at Oku-Abak, along the Uyo-Abak Road, Abak LGA, Akwa Ibom State.",low
"A coalition of civil societies held a protest in Benin City, Oredo LGA, Edo State, over the current economic conditions in Nigeria. The protesters carried placards with different inscriptions.",low
"Gunmen shot and killed one person in the vicinity of Imgbi, Yenagoa LGA, Bayelsa State.",low
"Youths held a protest in the vicinity of Uromi, Esan North-East LGA, Edo State, over the alleged involvement of prominent locals in kidnap incidents within the community. The protesters burnt tires and blocked the Uromi Road.",low
"Vigilante members shot and killed a suspected kidnapper in Awuyemi community in the Okpella area of Etsako East LGA, Edo State.",low
"Gunmen on a motorcycle attacked a residence in Ikot Abasi Akpan community along the Etinan-Ekparakwa Road in Mkpat-Enin LGA, Akwa Ibom State. A retired principal was abducted. A 20-million naira ransom was demanded for his release.",low
"Armed robbers attacked a student of the Akwa Ibom State Polytechnic at Ikot Uboh in Ikot Ekpene LGA, Akwa Ibom State. The victim was shot and killed for attempting to raise an alarm, and his mobile phone was stolen.",low
"Gunmen attempted to abduct passengers traveling in a commercial vehicle along the Ughelli-Patani Road, Ughelli North LGA, Delta State. Troops of the Nigerian Army were deployed and engaged the gunmen in a firefight forcing them to withdraw, and the abductees were rescued.",low
"Gunmen shot and injured three soldiers while they were on duty at Okomu Oil Palm Plc, Ovia South West LGA, Edo State.",low
"A coalition of civil societies held a protest at the Ikeja Under Bridge, Ikeja LGA, Lagos State, over the current economic condition. The protesters carried placards with different inscriptions. An unspecified number of protesters were arrested.",low
"There was a protest at Mokola Roundabout in Ibadan North LGA, Oyo State, over the current economic conditions in Nigeria. The protesters demanded an end to hardship in the country, insecurity, police brutality, kidnapping, and a reversal of electricity tariff hike. At least five protesters were arrested.",low
"There was a protest in the Ayetoro area of Osogbo LGA, Osun State, over the current economic conditions in the country. The protesters carried placards with different inscriptions. The protesters later moved to Olaiya Junction and the Ogo Oluwa area.",low
"Youths held protests along Alagbaka Road, and at the Governor’s office in Akure South LGA, Ondo State, over a raid and arrest of 127 people at two nightclubs by the officials of the Economic and Financial Crimes Commission (EFCC) on 07Jun24. The protesters blocked roads within the Akure Metropolis resulting in traffic gridlock.",low
"A mob assaulted and injured two suspected cable thieves in the Amuloko area of Ona-Ara LGA, Oyo State.",low
"There was a violent clash between members of the “Buccaneers” and the “Eiye” cult gangs at the Moshood Abiola Polytechnic (MAPOLY) in Abeokuta South LGA, Ogun State.",low
"Increased tensions were reported at the Kugbo Mechanic Village along the Abuja-Keffi Expressway, Abuja Municipal Area Council, Abuja, following an altercation between a soldier and an electrician. The soldier stabbed and killed the electrician. A mob set fire to a vehicle belonging to the soldier.",low
"Members of the Zuba International Main Market Traders Association held a protest at the Zuba International Market in Gwagwalada Area Council, Abuja, over the revocation of occupancy of over 300 of their shops and plans to revoke more by the Gwagwalada Area Council and a property developer. The protesters stated that they had paid for their verification and validation done by the developer for a five-year term but were yet to be given their allocation papers.",low
"Two unidentified armed men who had checked a woman into a hotel later stabbed and killed her in Kubwa, Bwari Area Council, Abuja.",low
"Aleast 20 armed robbers attacked a nightclub on 4th Avenue in Gwarinpa Estate, Abuja Municipal Area Council, Abuja. One person (a Disc Jockey) was shot and killed, an unspecified number of people were injured, and mobile phones and valuables were stolen",low
"Increased tensions were reported at Koton-Karfe, Kogi LGA, Kogi State, following a violent clash between two political parties. Three people were injured, and properties were vandalized. GSF personnel were deployed to the area to restore order. At least five people were arrested.",low
"There was a violent clash between members of the “Aye” and the “Vikings” cult gangs in Alheri, Jos North LGA, Plateau State. One person was killed.",low
"Gunmen attacked three communities in Utange Ward, Michihe Ward, and Mbacher Ward of KatsinaAla LGA, Benue State, and killed six people.",low
"Increased tensions were reported in Bukuru, Jos South LGA, Plateau State, following the alleged killing of one person during an altercation between youths and the State Task Force. An unspecified number of cars were set on fire.",low
"Gunmen fired indiscriminately at the headquarters of the Nigeria Security and Civil Defence Corps (NSCDC) in Lafia, Lafia LGA, Nasarawa State, and attempted to gain access through the fence. Personnel of the NSCDC engaged the gunmen in a firefight until they withdrew.",low
"There was a violent clash between herders and members of the Benue State Livestock Guards (BSLG) in Kwua community behind Modern Market in Makurdi LGA, Benue State, following an attempt by the livestock guards to impound cows grazing openly and destroying farm crops in the area. At least two people were killed, four people were injured, and 13 herders were arrested.",low
"GSF personnel conducted a raid at a suspected kidnappers’ camp in the vicinity of Pandam Forest, Jos North LGA, Plateau State. Two AK-47 rifles, two AK-47 magazines and 13 rounds of 7.62mm special ammunition were recovered.",low
" ISWAP insurgents attacked two GSF positions resulting in a firefight in Goniri and near Bama IDP Camp, Bama LGA, Borno State. No further details.",low
"Suspected herdsmen attacked the palace of the District Head of Chinkai in Wukari LGA, Taraba State, and killed two people. No further details.",low
"An armed robber stabbed and killed a POS operator at the Wukari Yam Market, Wukari LGA, Taraba State, after failing to steal her money. A mob later lynched the robber.",low
"Suspected herdsmen attacked Mararaban Azagwa and Alele villages in Maihula, Bali LGA, Taraba State. At least six people were killed and four people were injured. GSF personnel were deployed to the location to restore order",low
"ISWAP insurgents attacked a Civilian Joint Task Force (CJTF), and a Nigeria Immigration Service (NIS) position in Monguno town near Government Senior Science Secondary School (GSSSS), Monguno LGA, Borno State. Three CJTF members including their chairman were shot and killed, and one CJTF patrol van was set on fire",low
" ISWAP insurgents killed two hunters near Buni Yadi town, Gujba LGA, Yobe State. ",low
"ISWAP insurgents abducted two people while they were gathering firewood in the Korori area near Bama town, Bama LGA, Borno State. No further details.",low
"AOG insurgents mounted an Illegal Vehicle Check Point (IVCP) along the Gubio-Damasak Road in Gubio LGA, Borno State. The insurgents stopped commercial vehicles transporting livestock and collected money as informal taxes on the livestock.",low
"Suspected herders armed with sticks and sharp objects attacked residents of Muguram village in Jakusko LGA, Yobe State, and injured 10 people.",low
"Members of the Kaduna Citizens Watch for Good Governance (KCWGG) held a protest at the Kaduna State Government House, Kaduna North LGA, Kaduna State, over the alleged financial mismanagement, abuse of power, and a growing debt burden for the past eight years by the previous administration. The protesters are urging the Economic and Financial Crimes Commission (EFCC) to probe and arrest the former Governor of the state.",low
"There was a violent clash between rival armed gangs in Ja’en, Gwale LGA, Kano State. Two people were killed.",low
"GSF personnel conducted clearance operations and engaged bandits in a firefight in Kutura Forest, Kachia LGA, Kaduna State. Three bandits were killed.",low
"Bandits attacked Bauda community (also known as Anguwan Paul) in Maro Ward, Kajuru LGA, Kaduna State. Six people were killed, and an unspecified number of people were injured.",low
"Bandits attacked residents during a meeting in Ewehko community, Maro Ward, Kajuru LGA, Kaduna State. At least five people were killed, and an unspecified number of motorcycles were set on fire.",low
"There was a violent clash between rival armed gangs in Ja’en Makera and Ja’en Unguwar Lalle, Gwale LGA, Kano State. A vigilante leader was stabbed and killed when he attempted to address the issue between the two gangs.",low
"GSF personnel on a clearance operation trailed a bandit leader and engaged him in a firefight in the Sabon Layi and Kidandan general areas of Giwa LGA, Kaduna State. The bandit leader was killed, and a mobile phone was recovered.",low
"Bandits abducted four people including three females and a 3-month-old baby in the Kwata area of Jibia LGA, Katsina State. GSF personnel were deployed to the area and engaged the bandits in a firefight until they withdrew. The abducted victims were rescued.",low
"Bandits attacked Tudun Doki village in Gwadabawa LGA, Sokoto State. At least 10 people were killed, and an unspecified number of people including women and children were abducted.",low
"The Nigerian Air Force (NAF) conducted air raids on bandit camps in Kuka Shidda, Faskari LGA, Katsina State. At least 100 bandits including their leaders were killed, and 45 motorcycles were destroyed during the air raid.",low
"GSF personnel on clearance operations engaged bandits in a firefight at their hideout in the Gonna RogoEka axis of Kajuru LGA, Kaduna State. Three bandits were killed, firearms and motorcycles were recovered.",low
" ISWAP insurgents abducted two people while they were gathering firewood in the Korori area near Bama town, Bama LGA, Borno State. No further details.",low
"ISWAP insurgents killed two hunters near Buni Yadi town, Gujba LGA, Yobe State.",low
"Suspected herders armed with sticks and sharp objects attacked residents of Muguram village in Jakusko LGA, Yobe State, and injured 10 people",low
"The Air Component of Operation “HADARIN DAJI” conducted air raids at bandit hideouts in the western part of Salahawa Mai-Goshen, Faskari LGA, Katsina State. At least 25 bandits were killed.",low
"Suspected IPOB/ESN members enforcing the sit-at-home exercise engaged vigilantes in a firefight at Nnewichi near St Peter’s Church in Nnewi North LGA, Anambra State, and at the border between Nnewi and Nnobi communities in Idemili South LGA. A vigilante commander was killed, and an unspecified number of people sustained gunshot wounds",low
"Gunmen abducted two people including a Reverend Father while they were returning from morning mass in Ajalli, Orumba North LGA, Anambra State.",low
"Gunmen shot and killed one person in Awka, Awka North LGA, Anambra State. The attack is related to a land ownership dispute",low
"Gunmen fired indiscriminately in Umu-Ezuboke Umualor community, Isi-Uzo LGA, Enugu State. At least four people were shot and injured.",low
"Unidentified armed men attacked a coronation ceremony at a secondary school in Nkomoro community, Ezza North LGA, Ebonyi State. An unspecified number of people, including journalists, were injured and vehicles, motorcycles, and property were vandalized. After the attack, youths blocked the entry and exit points of the venue, vandalized vehicles, and set fire to properties within the community.",low
"Gunmen suspected to be IPOB/ESN members mounted on motorcycles and a vehicle fired indiscriminately at the Ogbaru LGA secretariat in Ogbaru LGA, Anambra State. Vigilantes were deployed to the area and engaged the gunmen in a firefight until they withdrew. Six vehicles, including four vigilante patrol vehicles, were set on fire.",low
"GSF personnel conducted clearance operations at IPOB/ESN camps in the vicinity of Umudi Forest and in Umualumaku community, Umunneochi LGA, Abia State. Two suspected IPOB/ESN members were killed, the camps and one shrine were destroyed, and firearms and ammunition recovered",low
"There was a violent clash between members of the “Eiye” and the “Vikings” cult gangs in Effurun, Uvwie LGA, Delta State. Two people were injured.",low
"There was a violent clash between members of the “Eiye” and the “Vikings” cult gangs in Obiaruku, Ukwuani LGA, Delta State. One gang member was killed",low
"Gunmen attacked the residence of the Youth Chairman of the Labour Party (LP) in Ikpoba-Okha LGA, Edo State. No further details",low
"There was a violent clash between rival cult gangs in Ula-Pata-Ahoada, Ahoada LGA, Rivers State. Two people were killed, and one person was injured.",low
"There was a violent clash between GSF personnel and youths in the vicinity of the Rivers State Secretariat in Port Harcourt LGA, Rivers State, following a protest over the expiration of the tenure of the Local Government chairmen and their subsequent refusal to step down. At least two people including a policeman and a vigilante were killed, and an unspecified number of people were injured.",low
"There was a violent clash between two political factions in Eberi-Omuma, Omuma LGA, Rivers State. A policeman and a vigilante member were killed. GSF personnel were deployed to the area to restore order.",low
"Increased tensions were reported in Asari-Toru and Degema LGAs, Rivers State, as youths barricaded the entrances of the Local Government Area secretariats, over tenure dispute. The youths insisted that the three-year tenure of the Local Government chairmen must end on the 17Jun24.",low
